Gender,Age,Education,Employment,marital,fshopper,mplanner,easy,familiarity,friends,Useful,Easiness,Sufficient,Trusfulness,Clear,netquan,low in fat,low in cho,sodium,e labels
1,22,5,4,0,0,0,2,3,4,3,0,4,0,2,2,2,3,4,0
1,61,5,6,1,1,0,1,3,4,4,3,3,4,3,2,2,1,3,1
0,45,5,1,1,1,0,2,3,5,5,5,4,2,2,2,2,2,3,1
1,25,5,4,0,0,1,2,4,5,5,4,3,3,2,2,2,3,3,1
1,65,5,1,1,1,0,1,3,5,5,5,2,3,2,2,1,2,3,0
1,39,5,1,1,1,1,2,4,4,5,4,4,4,4,2,2,0,2,0
1,44,5,1,1,1,0,5,2,5,5,3,4,3,3,2,0,1,3,1
1,55,5,1,1,1,0,3,4,5,5,5,3,4,4,2,2,3,2,1
1,51,5,1,1,1,0,4,3,4,5,5,3,4,3,2,1,3,3,0
1,52,5,1,1,1,0,3,3,4,5,5,3,5,3,2,2,2,1,0
1,48,5,1,1,1,0,1,2,5,5,4,3,5,3,2,2,2,3,0
1,19,3,4,1,1,1,3,4,5,5,4,3,5,3,1,0,2,3,0
1,62,1,6,1,1,1,1,2,4,4,4,4,5,3,2,1,3,4,0
1,51,1,1,1,1,1,4,3,5,5,4,3,5,3,0,0,1,4,0
1,58,1,1,0,1,1,1,2,5,4,5,3,5,3,1,2,1,3,0
1,45,5,1,0,0,0,2,4,5,3,4,4,5,3,2,1,2,2,0
1,45,5,1,1,1,1,4,1,5,3,4,4,5,4,0,2,3,3,0
1,45,5,2,0,0,1,3,2,4,3,5,5,4,5,2,2,3,3,0
1,45,5,1,0,0,1,1,2,5,5,5,5,4,5,2,1,2,3,0
1,46,5,1,1,1,0,4,2,5,5,5,5,4,5,2,1,2,2,0
1,46,5,1,1,1,0,3,4,4,5,5,3,4,5,2,2,2,3,0
1,49,4,2,1,1,0,3,4,5,5,5,4,4,4,2,2,3,3,0
1,51,4,1,1,1,1,2,5,4,5,5,4,5,3,2,0,1,2,0
1,52,4,1,1,1,0,2,3,4,4,5,3,5,5,2,2,2,4,0
1,29,3,2,0,0,0,2,3,4,4,5,4,3,4,2,1,1,2,0
1,43,4,1,1,1,0,4,1,4,4,5,4,4,5,2,0,1,4,0
1,29,4,2,0,0,1,4,2,4,3,5,4,4,5,2,2,0,3,0
1,30,3,2,1,1,1,2,5,4,3,4,4,4,5,2,2,1,2,0
1,28,3,2,0,0,1,2,3,4,3,4,4,4,3,2,2,1,3,0
1,35,5,1,1,1,1,3,4,4,0,3,4,3,4,2,1,2,3,0
1,35,5,1,1,1,1,4,3,5,3,2,5,4,5,1,2,2,2,1
1,30,5,1,1,1,1,4,3,5,4,4,5,0,5,0,0,3,2,1
1,39,5,1,1,1,1,4,5,5,3,3,5,2,5,2,2,2,4,0
1,55,4,6,1,1,0,4,4,5,5,5,3,0,4,2,1,1,2,1
1,61,5,6,0,0,1,4,2,5,5,2,3,5,5,2,2,1,2,1
1,61,4,6,0,0,1,2,2,5,5,2,5,5,5,2,0,3,3,1
1,42,2,1,0,0,0,1,4,5,5,4,5,5,4,2,2,2,4,0
1,60,2,1,0,1,1,4,2,5,4,4,4,4,3,2,0,3,4,1
1,42,2,2,1,1,1,4,3,4,2,1,0,2,5,2,1,1,4,1
1,60,5,1,1,1,1,2,4,4,5,4,4,4,5,2,1,2,2,1
1,51,3,2,1,1,0,2,2,4,4,3,2,4,2,2,2,2,3,1
1,50,5,1,1,1,0,2,4,4,3,3,2,3,2,2,2,3,4,1
1,50,4,1,1,0,0,2,2,4,4,4,2,5,3,2,1,3,4,1
1,47,2,3,0,1,0,5,4,5,2,1,4,5,3,2,2,2,2,0
1,48,2,3,0,1,0,5,3,5,2,1,4,2,2,2,2,1,2,0
1,50,3,2,1,0,0,2,3,5,3,3,3,3,3,2,2,3,3,1
1,57,5,6,1,0,0,4,1,4,4,4,2,4,2,2,2,3,2,0
1,57,4,1,1,0,1,1,5,5,3,4,2,4,2,2,0,3,4,0
1,56,4,1,1,0,1,2,3,4,5,4,2,4,3,2,1,1,4,1
1,54,4,1,1,0,1,2,2,4,5,4,3,4,2,1,0,2,3,0
1,54,4,1,1,0,1,3,4,4,5,4,3,5,4,1,2,3,2,1
1,33,4,1,1,1,0,2,4,4,3,3,5,4,5,2,2,0,1,1
1,35,5,1,1,1,0,1,3,4,2,2,5,3,4,2,2,1,3,0
1,31,3,3,1,1,0,2,4,5,3,3,4,4,4,2,2,2,3,0
1,41,5,1,1,1,0,4,4,4,5,4,3,3,5,2,3,2,2,1
1,41,5,1,1,1,1,3,3,5,5,4,3,4,4,2,2,3,4,0
1,41,5,1,1,1,1,2,5,5,4,4,3,5,4,2,2,3,3,1
1,27,3,4,1,1,0,1,4,4,4,2,3,3,4,2,3,3,2,1
1,34,4,2,1,1,0,1,2,5,3,2,4,0,5,2,1,3,2,1
1,32,3,2,1,1,0,1,2,5,2,2,4,4,2,2,0,2,3,1
1,26,3,4,1,1,0,5,3,4,3,2,5,4,5,2,1,1,4,1
1,27,3,4,1,1,0,3,5,4,4,2,5,3,5,2,1,2,2,0
1,34,4,1,1,1,0,2,2,5,3,1,5,4,5,2,2,2,4,1
1,23,4,4,1,1,0,2,4,5,3,1,5,3,5,2,2,3,2,1
1,27,2,3,0,1,0,1,2,5,3,1,5,4,3,1,3,1,3,0
1,53,4,1,1,0,0,2,2,5,3,5,5,4,4,2,2,0,3,1
1,52,4,1,1,1,1,2,3,5,4,5,5,4,3,2,0,3,1,1
1,51,4,1,0,1,1,1,2,5,4,5,5,4,2,2,1,2,2,0
1,42,5,1,0,1,1,3,5,5,4,5,5,4,3,2,0,3,2,1
